Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019.00,2020.00
Afghanistan,0.09,0.10,0.06,0.08,0.09,0.06,0.06,0.06,0.06,0.07,0.05,0.06,0.03,0.03,0.03,0.04,0.04,0.05,0.09,0.11,0.13,0.21,0.15,0.12,0.11,0.11,0.09,0.12,0.12,0.15,0.16
Albania,0.42,0.39,0.23,0.20,0.19,0.15,0.14,0.12,0.13,0.18,0.18,0.18,0.20,0.19,0.19,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.15,0.15,0.14,0.13,0.15,0.14,0.14,0.14
Algeria,0.30,0.32,0.35,0.36,0.35,0.35,0.33,0.32,0.31,0.31,0.31,0.29,0.29,0.30,0.28,0.28,0.29,0.29,0.30,0.30,0.30,0.30,0.33,0.33,0.34,0.35,0.33,0.33,0.35,0.36,0.35
Angola,0.16,0.17,0.19,0.25,0.23,0.23,0.24,0.23,0.23,0.24,0.21,0.20,0.17,0.18,0.17,0.13,0.12,0.11,0.11,0.12,0.13,0.13,0.12,0.13,0.14,0.15,0.15,0.13,0.12,0.12,0.11
Anguilla,0.02,0.04,0.03,0.04,0.05,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.05,0.06,0.07,0.07,0.09,0.10,0.11,0.13,0.15,0.19,0.12,0.11
Antigua and Barbuda,0.42,0.43,0.43,0.37,0.37,0.41,0.39,0.36,0.33,0.33,0.29,0.31,0.31,0.33,0.32,0.30,0.26,0.25,0.25,0.33,0.36,0.40,0.42,0.45,0.43,0.42,0.39,0.29,0.27,0.25,0.26
Argentina,0.23,0.22,0.21,0.20,0.20,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.20,0.21,0.20,0.20,0.19,0.20
Armenia,1.13,1.33,1.17,0.60,0.32,0.37,0.26,0.32,0.31,0.27,0.29,0.27,0.21,0.20,0.20,0.21,0.18,0.19,0.19,0.18,0.17,0.18,0.20,0.18,0.17,0.15,0.15,0.15,0.15,0.14,0.16
Aruba,0.23,0.24,0.26,0.22,0.22,0.24,0.16,0.23,0.22,0.22,0.22,0.24,0.24,0.28,0.27,0.28,0.27,0.27,0.25,0.30,0.29,0.24,0.33,0.32,0.32,0.30,0.28,0.22,0.21,0.21,0.24
Australia,0.52,0.53,0.53,0.52,0.51,0.51,0.51,0.50,0.51,0.49,0.48,0.48,0.47,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.41,0.40,0.38,0.37,0.35,0.35,0.35,0.34,0.33,0.33,0.31
