Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Power Industry,Afghanistan,0.06,0.06,0.11,0.17,0.20,0.21,0.24,0.37,0.27,0.29,0.30,0.36,0.35,0.50,0.45,0.63,0.66,0.72,0.66,0.59,0.59,0.54,0.32,0.34,0.22,0.38,0.39,0.38,0.47,0.44,0.35,0.42,0.29,0.38,0.31,0.44,0.51,0.64,1.19,1.71,2.08,2.33,1.83,1.60,1.67,2.59349827,2.5047133,3.63384336,3.73822647,6.03954186,6.00378699
Power Industry,Albania,0.70,0.70,0.74,0.76,0.76,0.71,0.72,0.72,0.80,0.84,0.82,0.79,0.90,0.93,0.98,1.00,1.01,1.01,1.01,1.00,0.52,0.33,0.19,0.32,0.39,0.26,0.22,0.20,0.21,0.21,0.28,0.27,0.28,0.17,0.17,0.14,0.14,0.09,NULL,0.01,0.02,0.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Power Industry,Algeria,1.65,1.65,1.55,1.22,1.47,2.11,2.53,2.82,3.30,3.66,5.13,5.31,6.92,7.86,8.11,8.60,10.25,9.44,10.40,10.39,10.22,10.59,11.03,11.53,12.35,12.55,12.61,13.35,14.95,15.61,15.84,16.62,17.55,18.78,19.84,20.66,22.01,22.33,24.12,24.67,25.09,28.13,30.94,30.10,32.64,36.7841997,36.1717422,37.73871715,40.29865559,41.90211872,39.90925837
Power Industry,Angola,0.14,0.14,0.16,0.17,0.37,0.35,0.35,0.35,0.35,0.39,0.40,0.40,0.42,0.46,0.12,0.16,0.20,0.17,0.26,0.24,0.29,0.24,0.17,0.13,0.18,0.17,0.20,0.42,0.39,0.62,0.73,0.82,0.82,1.03,0.65,0.77,0.87,0.98,1.39,2.23,2.37,2.23,2.70,3.99,5.67,6.130988,6.312641,5.347401,5.312575,5.085368,4.43661
Power Industry,Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000979804,0.001017829,0.001055852,0.00102538,0.001032938,0.00090567
Power Industry,Antigua and Barbuda,0.12,0.12,0.12,0.14,0.12,0.15,0.16,0.17,0.20,0.17,0.17,0.14,0.19,0.11,0.14,0.14,0.14,0.18,0.19,0.15,0.16,0.18,0.20,0.16,0.17,0.20,0.20,0.19,0.19,0.16,0.17,0.17,0.18,0.21,0.22,0.23,0.23,0.23,0.25,0.28,0.31,0.34,0.34,0.35,0.35,0.35388202,0.34509899,0.20504095,0.19911795,0.19435045,0.16803984
Power Industry,Argentina,23.84,23.84,24.97,25.06,23.43,22.98,24.34,26.39,23.55,25.16,22.42,20.78,19.38,20.72,19.33,17.27,19.67,19.74,27.47,26.39,20.28,22.26,21.33,21.37,22.03,22.85,25.92,23.88,25.67,29.62,30.31,24.27,22.00,25.50,32.01,32.70,35.57,40.79,44.54,44.09,45.54,50.30,54.39,51.97,52.03,54.65807671,55.17463166,51.01377587,50.88249452,46.97271157,44.30182948
Power Industry,Armenia,2.00,2.00,2.21,2.65,3.07,3.42,3.63,3.81,4.00,4.20,4.38,4.63,4.73,4.78,4.69,4.68,4.57,4.53,4.26,3.85,6.10,7.80,4.87,0.81,0.82,1.39,1.54,1.80,1.79,1.46,1.60,1.54,0.92,0.88,0.77,0.95,0.90,1.08,1.04,0.65,0.63,0.95,1.43,1.32,1.55,1.2716764,1.1732185,1.2389136,1.3175301,1.24715935,1.3721051
Power Industry,Aruba,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.18,0.20,0.21,0.26,0.31,0.25,0.27,0.35,0.23,0.33,0.34,0.29,0.35,0.37,0.38,0.47,0.49,0.53,0.51,0.52,0.50,0.53,0.56,0.47,0.58,0.56,0.56,0.57492109,0.54348963,0.33174831,0.32216582,0.31445139,0.27188205
Power Industry,Australia,53.32,52.54,58.06,59.26,65.34,69.57,71.94,80.93,75.54,78.79,89.13,92.93,98.71,93.88,96.55,104.32,104.23,111.24,116.59,125.92,128.81,131.14,133.87,134.76,136.96,142.60,149.33,153.68,172.65,176.12,178.87,186.62,203.13,187.25,196.46,201.63,205.21,211.60,211.56,222.20,210.67,202.71,201.74,191.44,182.32,190.3808248,194.5493048,191.5009156,186.6793478,185.2549012,178.2672995
