Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,16.27,16.21,14.32,14.90,16.18,16.86,16.85,17.02,16.56,16.42,16.40,16.61,16.49,16.52,15.47,15.47,12.53,12.97,13.55,12.86,12.96,13.03,12.18,12.29,12.33,12.83,13.99,14.98,15.82,16.83,14.90,13.53,15.67,16.45,16.55,16.87,17.13,18.27,21.41,23.90,27.66,32.94,30.54,28.64,28.46,28.28,26.86,29.32647803,29.3056755
Albania,7.94,7.89,8.78,8.27,8.57,8.76,9.37,9.93,10.93,12.08,12.28,11.32,11.88,12.68,13.05,12.61,12.83,13.10,13.02,12.90,11.16,8.69,5.93,5.95,6.63,6.27,6.03,5.30,5.57,6.80,7.00,7.19,7.81,7.99,8.22,7.83,7.86,7.81,7.60,7.60,7.90,8.30,8.00,8.25,8.73,8.57,8.36,8.966453425,8.972609628
Algeria,51.54,55.36,75.51,88.35,79.13,76.00,90.12,97.89,107.01,110.21,106.13,101.00,104.58,110.03,115.01,126.36,131.29,130.46,131.28,134.96,135.54,138.91,147.98,152.67,149.46,158.39,159.42,154.09,153.53,159.83,167.55,157.93,159.21,172.34,169.98,177.66,185.64,185.29,193.11,190.89,196.90,203.16,219.38,222.50,236.76,247.27,249.24,252.1311762,262.4497912
Angola,18.99,18.85,21.43,22.98,23.65,22.52,18.60,23.30,25.45,25.97,26.44,25.07,24.61,26.37,27.32,28.73,30.12,31.99,34.36,34.55,31.27,31.41,30.67,33.88,43.12,49.54,59.18,61.91,66.29,67.28,63.11,61.09,60.27,60.69,65.83,64.89,59.23,58.70,62.73,64.01,71.02,70.19,70.63,75.19,77.53,81.94,81.76,76.32910084,74.92313901
Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.033376925,0.032537305
Antigua and Barbuda,0.34,0.34,0.38,0.42,0.35,0.43,0.39,0.43,0.45,0.43,0.43,0.40,0.50,0.33,0.40,0.39,0.41,0.53,0.51,0.48,0.49,0.51,0.52,0.48,0.51,0.53,0.54,0.53,0.52,0.53,0.51,0.51,0.51,0.57,0.59,0.58,0.58,0.59,0.60,0.67,0.65,0.71,0.77,0.82,0.81,0.81,0.80,0.639943249,0.62341644
Argentina,216.18,219.48,225.11,233.99,234.37,234.39,243.08,252.46,248.45,253.43,249.14,244.41,240.34,245.34,246.55,239.63,250.07,253.34,264.88,263.91,263.61,266.94,270.35,267.79,279.22,284.67,290.55,298.63,302.59,312.65,312.57,306.82,306.28,332.30,353.03,358.19,374.26,381.82,389.93,368.27,369.93,376.08,384.08,385.92,395.42,401.77,405.62,401.1038951,397.3061361
Armenia,13.25,13.39,14.27,15.39,16.53,17.97,18.50,19.13,19.79,20.50,21.64,22.01,22.54,22.67,22.81,23.08,23.25,23.54,23.75,23.45,24.10,24.70,13.81,7.56,5.25,5.92,5.00,5.75,5.78,5.43,5.92,6.03,5.60,6.06,6.53,7.31,7.33,8.02,8.54,7.27,7.04,7.69,8.60,8.47,8.51,8.08,8.25,8.515080465,8.68045986
